,filename,time_rel(sec)
0,xa.s12.00.mhz.1970-01-19HR00_evid00002,73400.56603773584
1,xa.s12.00.mhz.1970-03-25HR00_evid00003,13188.64150943396
2,xa.s12.00.mhz.1970-03-26HR00_evid00004,73081.77358490566
3,xa.s12.00.mhz.1970-04-25HR00_evid00006,5139.132075471698
4,xa.s12.00.mhz.1970-04-26HR00_evid00007,51961.77358490566
5,xa.s12.00.mhz.1970-06-15HR00_evid00008,68260.03773584905
6,xa.s12.00.mhz.1970-06-26HR00_evid00009,72085.54716981133
7,xa.s12.00.mhz.1970-07-20HR00_evid00010,18369.018867924526
8,xa.s12.00.mhz.1970-07-20HR00_evid00011,18369.018867924526
9,xa.s12.00.mhz.1970-09-26HR00_evid00013,24426.07547169811
10,xa.s12.00.mhz.1970-10-24HR00_evid00014,43513.77358490566
11,xa.s12.00.mhz.1970-11-12HR00_evid00015,42238.60377358491
12,xa.s12.00.mhz.1970-12-11HR00_evid00017,26777.169811320753
13,xa.s12.00.mhz.1970-12-27HR00_evid00019,73799.05660377358
14,xa.s12.00.mhz.1970-12-31HR00_evid00021,55528.264150943396
15,xa.s12.00.mhz.1971-01-15HR00_evid00022,45785.16981132075
16,xa.s12.00.mhz.1971-01-28HR00_evid00023,42716.79245283019
17,xa.s12.00.mhz.1971-01-29HR00_evid00024,55627.88679245283
18,xa.s12.00.mhz.1971-02-09HR00_evid00026,13726.603773584906
19,xa.s12.00.mhz.1971-03-25HR00_evid00028,55309.09433962264
20,xa.s12.00.mhz.1971-04-13HR02_evid00029,36841.547169811325
21,xa.s12.00.mhz.1971-04-17HR00_evid00030,13407.811320754718
22,xa.s12.00.mhz.1971-05-12HR00_evid00031,28829.396226415094
23,xa.s12.00.mhz.1971-05-12HR00_evid00032,28829.396226415094
24,xa.s12.00.mhz.1971-05-13HR00_evid00033,55269.24528301887
25,xa.s12.00.mhz.1971-05-23HR00_evid00034,80154.98113207547
26,xa.s12.00.mhz.1971-06-12HR00_evid00035,38871.35849056604
27,xa.s12.00.mhz.1971-09-25HR00_evid00042,32694.75471698113
28,xa.s12.00.mhz.1971-10-18HR00_evid00043,55528.264150943396
29,xa.s12.00.mhz.1971-10-20HR00_evid00044,42477.698113207545
30,xa.s12.00.mhz.1971-10-31HR00_evid00045,8944.716981132075
31,xa.s12.00.mhz.1971-11-14HR00_evid00046,15778.830188679247
32,xa.s12.00.mhz.1972-01-04HR00_evid00049,23768.56603773585
33,xa.s12.00.mhz.1972-03-12HR00_evid00052,18986.67924528302
34,xa.s12.00.mhz.1972-05-11HR00_evid00055,48853.547169811325
35,xa.s12.00.mhz.1972-06-16HR00_evid00060,58576.71698113208
36,xa.s12.00.mhz.1972-07-17HR00_evid00067,79377.92452830188
37,xa.s12.00.mhz.1972-07-17HR00_evid00068,79377.92452830188
38,xa.s12.00.mhz.1972-07-28HR00_evid00070,6274.830188679245
39,xa.s12.00.mhz.1972-07-31HR00_evid00071,1612.4905660377358
40,xa.s12.00.mhz.1972-12-02HR00_evid00083,29706.07547169811
41,xa.s12.00.mhz.1972-12-03HR00_evid00084,10060.490566037737
42,xa.s12.00.mhz.1973-01-18HR00_evid00088,17970.528301886792
43,xa.s12.00.mhz.1973-01-31HR00_evid00091,2847.8113207547167
44,xa.s12.00.mhz.1973-03-01HR00_evid00093,25920.415094339623
45,xa.s12.00.mhz.1973-03-13HR00_evid00094,28763.66037735849
46,xa.s12.00.mhz.1973-05-14HR00_evid00104,16834.830188679247
47,xa.s12.00.mhz.1973-06-05HR00_evid00107,9602.226415094341
48,xa.s12.00.mhz.1973-06-05HR00_evid00108,9602.226415094341
49,xa.s12.00.mhz.1973-06-18HR00_evid00109,6693.245283018868
50,xa.s12.00.mhz.1973-06-27HR00_evid00112,14204.79245283019
51,xa.s12.00.mhz.1973-07-03HR00_evid00113,3824.1132075471696
52,xa.s12.00.mhz.1973-07-04HR00_evid00114,10160.113207547169
53,xa.s12.00.mhz.1973-07-20HR00_evid00117,38672.11320754717
54,xa.s12.00.mhz.1973-07-28HR00_evid00120,2768.11320754717
55,xa.s12.00.mhz.1973-07-29HR00_evid00121,3465.471698113208
56,xa.s12.00.mhz.1973-08-21HR00_evid00127,14543.509433962263
57,xa.s12.00.mhz.1974-01-10HR00_evid00136,49610.67924528302
58,xa.s12.00.mhz.1974-02-07HR00_evid00137,22951.66037735849
59,xa.s12.00.mhz.1974-02-12HR00_evid00138,80792.56603773584
60,xa.s12.00.mhz.1974-03-25HR00_evid00140,43573.547169811325
61,xa.s12.00.mhz.1974-04-08HR00_evid00141,38353.32075471698
62,xa.s12.00.mhz.1974-04-19HR00_evid00142,39349.547169811325
63,xa.s12.00.mhz.1974-04-26HR00_evid00144,33332.339622641506
64,xa.s12.00.mhz.1974-04-27HR00_evid00145,84119.96226415095
65,xa.s12.00.mhz.1974-07-06HR00_evid00150,45566.0
66,xa.s12.00.mhz.1974-07-06HR00_evid00151,45566.0
67,xa.s12.00.mhz.1974-07-11HR00_evid00152,3126.7547169811323
68,xa.s12.00.mhz.1974-07-17HR00_evid00153,47538.52830188679
69,xa.s12.00.mhz.1974-10-14HR00_evid00156,24406.150943396227
70,xa.s12.00.mhz.1975-04-12HR00_evid00191,65669.84905660377
71,xa.s12.00.mhz.1975-05-04HR00_evid00192,36241.32075471698
72,xa.s12.00.mhz.1975-06-24HR00_evid00196,7649.622641509433
73,xa.s12.00.mhz.1975-06-26HR00_evid00198,13168.716981132075
